Plant type,Species (or community),MortalityRate,BirthRate
Seagrasses,Posidonica oceanica,0.00067,0.00033
Seagrasses,Posidonica oceanica,0.00022,0.00044
Seagrasses,Posidonica oceanica,0.00042,0.00028
Seagrasses,Posidonica oceanica,0.00017,0.00036
Seagrasses,Posidonica oceanica,0.00064,0.00036
Seagrasses,Posidonica oceanica,0.00019,0.00044
Seagrasses,Posidonica oceanica,0.001,0.0002
Seagrasses,Posidonica oceanica,0.00019,0.00028
Seagrasses,Posidonica oceanica,0.00047,0.00025
Seagrasses,Posidonica oceanica,0.00017,8.3e-05
Seagrasses,Posidonica oceanica,0.00022,8.3e-05
Seagrasses,Posidonica oceanica,0.00019,5.6e-05
Seagrasses,Posidonica oceanica,0.0005,0.00011
Seagrasses,Posidonica oceanica,0.0013,0.0012
Seagrasses,Posidonica oceanica,0.00072,0.00028
Seagrasses,Posidonica oceanica,0.0005,0.00028
Seagrasses,Posidonica oceanica,0.00022,0.00028
Seagrasses,Posidonica oceanica,0.0005,0.00019
Seagrasses,Posidonica oceanica,0.00072,8.3e-05
Seagrasses,Posidonica oceanica,0.0013,0.0011
Seagrasses,Posidonica oceanica,0.00026,0.00031
Seagrasses,Posidonica oceanica,0.00018,0.00047
Seagrasses,Posidonica oceanica,0.00012,0.00034
Seagrasses,Posidonica oceanica,0.00031,5.2e-05
Seagrasses,Posidonica oceanica,0.00043,3.9e-05
Seagrasses,Posidonica oceanica,0.00092,0.00012
Seagrasses,Posidonica oceanica,0.00034,0.00041
Seagrasses,Posidonica oceanica,0.00013,8.5e-05
Seagrasses,Posidonica oceanica,0.00015,5.4e-05
Seagrasses,Posidonica oceanica,9.4e-05,0.00011
Seagrasses,Posidonica oceanica,0.00053,8.3e-05
Seagrasses,Posidonica oceanica,0.00061,0.00011
Seagrasses,Posidonica oceanica,0.00011,0.00011
Seagrasses,Posidonica oceanica,8.3e-05,8.3e-05
Seagrasses,Posidonica oceanica,0.00058,5.6e-05
Seagrasses,Posidonica oceanica,0.0005,8.3e-05
Seagrasses,Posidonica oceanica,0.00039,0.00014
Seagrasses,Posidonica oceanica,0.00078,0.00014
Seagrasses,Posidonica oceanica,0.00047,0.00017
Seagrasses,Posidonica oceanica,0.00033,0.00019
Seagrasses,Posidonica oceanica,0.00033,0.00011
Seagrasses,Posidonica oceanica,0.00031,0.00011
Seagrasses,Posidonica oceanica,0.00067,8.3e-05
Seagrasses,Posidonica oceanica,0.00067,0.00042
Seagrasses,Posidonica oceanica,0.00078,0.00017
Seagrasses,Posidonica oceanica,0.00044,0.00083
Seagrasses,Posidonica oceanica,0.00058,0.00014
Seagrasses,Posidonica oceanica,0.00039,5.6e-05
Seagrasses,Posidonica oceanica,0.00047,0.00025
Seagrasses,Posidonica oceanica,0.00078,0.00019
Seagrasses,Posidonica oceanica,0.00064,0.0005
Seagrasses,Posidonica oceanica,0.00033,8.3e-05
Seagrasses,Posidonica oceanica,0.00011,5.6e-05
Seagrasses,Posidonica oceanica,5.6e-05,8.3e-05
Seagrasses,Posidonia sinuosa,0.0013,0.00092
Seagrasses,Posidonia sinuosa,0.0014,0.0005
Seagrasses,Syringodium filiforme,0.0057,0.0021
Seagrasses,Syringodium isoetifolium,0.0068,0.0057
Seagrasses,Thalassodendron ciliatum,0.002,0.0018
Seagrasses,Thalassodendron ciliatum,0.002,0.0038
Seagrasses,Thalassodendron ciliatum,0.00086,0.0012
Seagrasses,Thalassodendron ciliatum,0.0019,0.0031
Seagrasses,Thalassodendron ciliatum,0.0018,0.0031
Seagrasses,Thalassodendron ciliatum,0.0022,0.0054
Seagrasses,Thalassodendron ciliatum,0.0027,0.0027
Seagrasses,Thalassodendron ciliatum,0.0013,0.0013
Seagrasses,Thalassodendron ciliatum,0.0017,0.0025
Seagrasses,Thalassodendron ciliatum,0.0022,0.0021
Seagrasses,Thalassodendron ciliatum,0.0021,0.0042
Seagrasses,Thalassia hemprichii,0.0017,0.0033
Seagrasses,Thalassodendron pachyrrizum,0.0013,0.0021
Seagrasses,Thalassia testudinum,0.0012,0.00072
Seagrasses,Thalassia testudinum,0.0038,0.0013
Seagrasses,Thalassia testudinum,0.0028,0.0014
Seagrasses,Zostera marina,0.0024,0.0041
Seagrasses,Zostera marina,0.0025,0.0018
Seagrasses,Zostera marina,0.0042,0.0033
Seagrasses,Zostera noltii,0.006,0.0024
Seagrasses,Zostera noltii,0.0093,0.0055
Seagrasses,Zostera noltii,0.01,0.0093
